,main_player,main_player_current_name,main_player_won,main_player_civ,main_player_civ_name,other_player_civ,other_player_civ_name,match_id,version,ranked,map_type,game_started,p1_name,p1_id,p1_rating,p1_won,p2_name,p2_id,p2_rating,p2_won,Feudal Age,Castle Age,Feudal Age_Archer Rush,Q_Feudal Age_Archer Rush,Feudal Age_Blacksmith,Feudal Age_Range,Castle Age_3+ TC Boom,Castle Age_University,Castle Age_Siege,Dark Age_Mill,Dark Age_Lumber Camp,Dark Age_Deer Lure,Feudal Age_Man At Arms Tech,Feudal Age_Man-at-Arms,Q_Feudal Age_Man-at-Arms,Castle Age_Two TC,Imperial Age,Feudal Age_Skirm Rush,Q_Feudal Age_Skirm Rush,Castle Age_Monastery,Dark Age_Drush,Q_Dark Age_Drush,Dark Age_Barracks,Feudal Age_Eagle Rush,Q_Feudal Age_Eagle Rush,Feudal Age_Fast Castle,Castle Age_Single TC,Feudal Age_Spear Rush,Q_Feudal Age_Spear Rush,Feudal Age_Market,Feudal Age_Scout Rush,Q_Feudal Age_Scout Rush,Feudal Age_stable,Castle Age_Castle,Dark Age_Fast Castle Dark Age Attempt,Dark Age_Town Center Rush,Dark Age_Mining Camp,Castle Age_Fats Imperial
0,Uee_,This Love,TRUE,28,Khmer,36,Burgundians,87488773,46295,TRUE,9,1619602581,This Love,3231612,2112,TRUE,🏹,4367756,2117,FALSE,6.9777,18.3943,2,6,10,10,10,10,10,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,🏹,🏹,FALSE,36,Burgundians,28,Khmer,87488773,46295,TRUE,9,1619602581,This Love,3231612,2112,TRUE,🏹,4367756,2117,FALSE,8.137866667,18.30168333,3,11,10,10,0,10,10,10,10,2,10,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ghostbusters,Ghostbusters,TRUE,11,Vikings,6,Chinese,87907847,46295,TRUE,9,1619760143,Ghostbusters,2777792,1978,TRUE,QNA_Whocl,2309468,2075,FALSE,8.3144,18.91353333,1,3,10,10,10,10,0,10,10,3,10,10,5,0,35.53565,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,QNA_Whocl,QNA_Whocl,FALSE,6,Chinese,11,Vikings,87907847,46295,TRUE,9,1619760143,Ghostbusters,2777792,1978,TRUE,QNA_Whocl,2309468,2075,FALSE,7.9952,19.73673333,3,8,10,10,0,0,10,10,10,2,10,10,5,10,41.622,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FB.Kasva,FB.Kasva,TRUE,16,Mayans,11,Vikings,89622560,47820,TRUE,9,1620352878,FB.Kasva,1224481,2348,TRUE,Nagash,2667231,2380,FALSE,9.53805,19.65456667,3,10,10,10,0,10,10,0,10,0,0,0,0,10,0,0,0,0,10,2,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Nagash,Nagash,FALSE,11,Vikings,16,Mayans,89622560,47820,TRUE,9,1620352878,FB.Kasva,1224481,2348,TRUE,Nagash,2667231,2380,FALSE,10.96175,14.4651,3,10,10,10,0,10,10,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
6,Thành Cổ Quảng Trị,Thành Cổ Quảng Trị,TRUE,32,Bulgarians,6,Chinese,88448766,46295,TRUE,9,1619928826,Thành Cổ Quảng Trị,2660491,2078,TRUE,KingstoN_,3253348,2087,FALSE,7.847183333,22.02246667,1,2,10,10,10,0,10,10,10,3,10,10,5,0,37.70636667,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,KingstoN_USb_,KingstoN_,FALSE,6,Chinese,32,Bulgarians,88448766,46295,TRUE,9,1619928826,Thành Cổ Quảng Trị,2660491,2078,TRUE,KingstoN_,3253348,2087,FALSE,8.018816667,23.74081667,2,4,10,10,0,0,0,10,10,1,0,0,0,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,TheKasva,TheKasva,TRUE,15,Aztecs,17,Huns,87528946,46295,TRUE,9,1619621717,TheKasva,4795863,1963,TRUE,Kik0_,1516024,1969,FALSE,8.154583333,19.16316667,0,0,10,0,0,0,10,10,10,1,10,10,3,0,0,0,0,10,0,0,0,1,2,0,10,2,4,10,0,0,0,0,0,0,0,0
9,Kik0_,Kik0_,FALSE,17,Huns,15,Aztecs,87528946,46295,TRUE,9,1619621717,TheKasva,4795863,1963,TRUE,Kik0_,1516024,1969,FALSE,6.665516667,18.1091,0,0,0,10,10,0,0,10,10,2,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,0
